Pinjarra Hills,pinjarra-hills,8348926
Hampstead Gardens,hampstead-gardens,8348952
Warner,warner,8348954
Banjup,banjup,8349020
Hazelmere,hazelmere,8349064
Kingsley,kingsley,8349069
Mount Nasura,mount-nasura,8349087
Granville,granville,2164691
Malak,malak,8349155
Greenway,greenway,8349176
Rivett,rivett,8349189
Clinton,clinton,8349203
Wavell Heights,wavell-heights,8349257
Heatley,heatley,8349264
St Johns Park,st-johns-park,8349318
Rangewood,rangewood,8349319
Amaroo,amaroo,8349331
Holmview,holmview,8349341
Burbank,burbank,9957334
Ferny Hills,ferny-hills,9958153
Bangholme,bangholme,9972525
Burnside Heights,burnside-heights,9972585
Collaroy Plateau,collaroy-plateau,9972647
Kellyville Ridge,kellyville-ridge,9972765
Renown Park,renown-park,9972789
Padstow Heights,padstow-heights,9972863
Sandringham,sandringham,2150460
Evanston Gardens,evanston-gardens,9973104
Gawler East,gawler-east,9973107
Glenelg North,glenelg-north,9973115
Clarence Park,clarence-park,9973275
Millswood,millswood,9973320
Woodside,woodside,2057904
Salisbury,salisbury,8349401
Normanville,normanville,2064565
Middleton,middleton,2066356
Katherine,katherine,2068655
Ingle Farm,ingle-farm,2069375
Greenock,greenock,2070422
Freeling,freeling,2071233
Darwin,darwin,2073124
Darlington,darlington,9972652
Cummins,cummins,2073361
Craigburn Farm,craigburn-farm,2073523
Cleve,cleve,2074280
Cadell,cadell,2075200
Alyangula,alyangula,2079582
Lower King,lower-king,2079796
Yarram,yarram,2142494
Woodhill,woodhill,2143092
West Pymble,west-pymble,2143954
Wardell,wardell,2144691
Ventnor,ventnor,2145289
Upper Lansdowne,upper-lansdowne,2145447
Tuggerah,tuggerah,2145940
Trentham,trentham,2146065
Tiaro,tiaro,2146669
Thornleigh,thornleigh,2146780
Thagoona,thagoona,2146987
Tawonga,tawonga,2147265
Sutton Town,sutton-town,2147792
Spring Hill,spring-hill,2148627
South Gundagai,south-gundagai,2148996
Southbrook,southbrook,2149056
Smithtown,smithtown,2149253
Shepparton,shepparton,2149645
Rushworth,rushworth,2150817
Rosedale,rosedale,2151107
Rosebud,rosebud,2151120
Ridgley,ridgley,2151622
Potts Point,potts-point,2152625
Pakenham Upper,pakenham-upper,2153950
Oakleigh East,oakleigh-east,2154616
Numurkah,numurkah,2154723
Newstead,newstead,2155393
Nelson Bay,nelson-bay,2155562
Mount Macedon,mount-macedon,2156590
Moonah,moonah,2157090
Manly,manly,2158867
Mallacoota,mallacoota,2158977
Maddingley,maddingley,2159141
Loveday,loveday,2159500
Loch,loch,2159795
Latrobe,latrobe,2160523
Lake Illawarra,lake-illawarra,2160751
Kin Kin,kin-kin,2161291
Kerang,kerang,2161587
Kennington,kennington,2161613
Keiraville,keiraville,2161715
Julia Creek,julia-creek,2162098
Ivanhoe East,ivanhoe-east,2162546
Inverleigh,inverleigh,2162659
Gunning,gunning,2164199
Goodna,goodna,2165025
Geelong,geelong,2165798
Fish Creek,fish-creek,2166652
Finley,finley,2166675
Exeter,exeter,8348151
Epping,epping,2167279
Eight Mile Plains,eight-mile-plains,2167651
Dunoon,dunoon,2168066
Drayton,drayton,2168405
Deer Park,deer-park,2169145
Davistown,davistown,2169302
Coramba,coramba,2170366
Carrum Downs,carrum-downs,2172191
Camden,camden,2172674
Bundaberg,bundaberg,2173323
Bulahdelah,bulahdelah,2173557
Bongaree,bongaree,2174933
Berkeley,berkeley,2176090
Beachport,beachport,2176552
Bamaga,bamaga,2177023
Bairnsdale,bairnsdale,2177233
Avonsleigh,avonsleigh,2177426
Artarmon,artarmon,2177626
Alexandra,alexandra,2178144
Towradgi,towradgi,2206107
Point Piper,point-piper,2207901
Joondalup,joondalup,6695255
Paradise Point,paradise-point,6697782
Girraween,girraween,8348140
North Ryde,north-ryde,7281782
Parramatta,parramatta,7281840
Shoalwater,shoalwater,7932538
Balwyn North,balwyn-north,7932629
Box Hill North,box-hill-north,7932631
Brassall,brassall,7932659
Collingwood Park,collingwood-park,7932671
Bonny Hills,bonny-hills,8219734
Wangan,wangan,8219841
Willow Vale,willow-vale,8349001
Bonnells Bay,bonnells-bay,8310683
Glossodia,glossodia,8310709
Kurmond,kurmond,8310725
Otago,otago,8310756
Robinvale,robinvale,8310771
Warragamba,warragamba,8310786
